id	pub_home_div	pub_draw_div	pub_away_div
2	2.29	3.20	2.50
7	2.45	3.20	2.33
12	2.16	3.40	2.55
17	1.97	3.45	2.85
22	1.84	3.45	3.15
27	2.65	3.40	2.09
32	1.96	3.55	2.80
37	2.80	3.25	2.06
42	3.20	3.55	1.80
47	1.91	3.30	3.10
52	3.60	3.65	1.67
57	2.50	3.35	2.22
65	2.20	2.65	3.15
70	1.95	3.05	3.25
75	2.30	2.75	2.85
80	2.23	2.80	2.90
85	2.22	3.05	2.70
92	1.99	3.60	2.70
100	4.00	3.70	1.59
108	3.20	3.50	1.81
114	2.35	3.25	2.40
122	2.24	3.30	2.50
127	2.45	3.25	2.31
132	2.15	3.25	2.65
137	2.28	3.30	2.45
142	2.19	3.25	2.60
147	1.81	3.50	3.20
152	2.05	3.35	2.75
157	1.98	3.55	2.75
162	2.14	3.35	2.60
167	2.85	3.55	1.93
172	1.71	3.50	3.60
177	2.80	3.45	1.99
182	2.07	3.45	2.65
190	2.47	2.50	2.90
195	2.25	2.65	3.05
200	2.04	2.60	3.65
205	2.11	2.75	3.20
210	2.65	2.58	2.60
215	2.70	2.60	2.54
220	2.07	3.30	2.75
228	1.71	3.90	3.25
236	3.15	3.40	1.86
244	3.70	3.35	1.72
252	2.14	3.45	2.55
257	1.71	3.55	3.55
262	2.70	3.20	2.14
267	2.29	3.20	2.50
272	2.31	3.25	2.45
277	2.16	3.40	2.55
282	1.97	3.45	2.85
287	1.84	3.45	3.15
292	2.65	3.40	2.09
297	1.96	3.55	2.80
302	2.80	3.25	2.06
307	3.20	3.55	1.80
312	1.91	3.30	3.10
317	3.25	3.50	1.80
322	2.50	3.35	2.22
330	2.07	3.30	2.75
335	2.45	3.25	2.31
340	3.45	3.30	1.80
345	2.85	2.46	2.55
350	2.40	3.15	2.40
358	2.40	3.60	2.20
366	3.55	3.70	1.67
374	2.65	3.40	2.09
382	1.83	3.55	3.10
390	1.74	3.45	3.50
395	2.31	3.25	2.45
400	2.22	3.35	2.50
405	2.55	3.30	2.20
410	2.26	3.25	2.50
415	3.30	3.30	1.84
420	2.50	3.20	2.29
425	2.70	3.25	2.12
430	2.20	3.30	2.55
435	1.56	3.70	4.20
440	1.96	3.40	2.90
445	2.40	3.25	2.35
450	2.70	3.25	2.12
455	3.25	3.25	1.87
460	3.10	3.20	1.94
468	3.90	2.60	1.97
473	2.25	3.20	2.55
481	2.20	3.40	2.50
489	4.00	3.55	1.62
497	2.90	3.55	1.91
505	1.55	3.95	4.00
513	2.38	2.65	2.85
518	2.27	2.70	2.95
523	2.31	3.25	2.45
528	2.70	3.30	2.10
533	1.90	3.40	3.05
538	2.75	3.20	2.11
543	2.20	3.30	2.55
548	2.14	3.35	2.60
553	1.97	3.30	2.95
558	2.31	3.25	2.45
563	2.09	3.40	2.65
568	1.88	3.45	3.05
573	3.30	3.30	1.84
578	2.11	3.35	2.65
583	3.80	3.45	1.68
588	2.26	3.25	2.50
593	2.50	3.25	2.26
601	4.55	2.55	1.86
606	2.24	2.70	3.00
611	2.45	3.40	2.24
619	2.80	3.85	1.88
627	2.70	3.45	2.04
635	3.95	3.65	1.61
643	1.59	3.90	3.80
651	2.85	2.70	2.34
655	3.15	2.80	2.11
660	2.85	2.55	2.46
665	2.70	2.70	2.45
670	2.20	3.30	2.55
675	1.86	3.45	3.10
680	2.24	3.30	2.50
685	1.89	3.35	3.10
690	3.25	3.25	1.87
695	2.90	3.25	2.01
700	2.50	3.20	2.29
705	2.01	3.40	2.80
710	1.73	3.55	3.45
715	2.24	3.40	2.45
720	2.18	3.35	2.55
725	2.70	3.35	2.08
730	3.45	3.25	1.81
735	3.20	3.30	1.87
740	2.35	3.25	2.40
748	2.40	3.30	2.33
753	2.70	3.40	2.06
758	3.20	3.35	1.86
763	2.70	3.15	2.17
768	2.50	3.30	2.24
773	3.55	3.70	1.67
778	3.25	3.45	1.81
783	2.65	3.20	2.18
788	2.22	3.35	2.50
796	1.91	2.90	3.55
801	3.85	2.55	2.01
806	2.49	2.70	2.65
811	2.33	3.20	2.45
819	2.30	3.45	2.35
827	1.70	3.70	3.45
835	2.04	3.45	2.70
843	3.00	3.15	2.01
851	2.70	3.25	2.12
856	2.75	3.30	2.07
861	2.65	3.30	2.13
866	3.55	3.55	1.71
871	2.30	3.35	2.40
876	2.09	3.25	2.75
881	2.45	3.20	2.33
886	2.27	3.15	2.55
891	2.80	3.40	2.01
896	2.05	3.35	2.75
901	3.15	3.40	1.86
906	3.55	3.30	1.77
911	2.35	3.35	2.35
916	3.05	3.30	1.93
921	2.95	3.35	1.95
929	3.45	2.55	2.14
934	3.70	2.75	1.94
939	2.04	2.80	3.30
944	2.90	3.25	2.01
952	3.05	3.60	1.84
960	2.04	3.55	2.65
968	3.35	3.45	1.78
976	3.60	3.05	1.84
984	2.13	3.30	2.65
989	3.15	3.35	1.87
994	2.20	3.30	2.55
999	2.28	3.30	2.45
1004	3.95	3.45	1.65
1009	2.07	3.30	2.75
1014	2.45	3.25	2.31
1019	3.45	3.30	1.80
1024	2.45	3.35	2.26
1029	2.60	3.45	2.10
1034	2.33	3.20	2.45
1039	1.74	3.55	3.40
1044	1.82	3.55	3.15
1052	2.80	2.65	2.41
1057	2.85	2.46	2.55
1062	2.12	2.60	3.40
1067	3.25	2.65	2.15
1071	3.40	2.85	1.98
1076	2.15	2.85	3.00
1081	2.04	3.30	2.80
1089	3.80	3.55	1.65
1097	3.00	3.35	1.93
1105	2.26	3.35	2.45
1113	4.25	3.30	1.64
1121	2.28	3.40	2.40
1126	2.18	3.35	2.55
1131	1.83	3.55	3.10
1136	2.24	3.30	2.50
1141	2.60	3.35	2.14
1146	2.28	3.40	2.40
1151	3.40	3.55	1.74
1156	2.70	3.30	2.10
1161	2.50	3.25	2.26
1166	2.26	3.45	2.40
1171	3.50	3.40	1.76
1176	2.80	3.15	2.11
1181	1.59	3.80	3.90
1189	3.20	2.65	2.18
1194	2.23	2.85	2.85
1199	2.40	3.40	2.28
1207	3.15	3.55	1.82
1215	3.10	3.35	1.89
1223	2.28	3.30	2.45
1231	3.30	3.15	1.89
1239	2.54	2.70	2.60
1244	3.50	2.80	1.97
1249	3.10	3.45	1.86
1254	1.95	3.50	2.85
1259	2.65	3.20	2.18
1264	2.02	3.30	2.85
1269	2.55	3.15	2.27
1274	2.12	3.25	2.70
1279	2.30	3.35	2.40
1284	2.05	3.35	2.75
1289	1.92	3.45	2.95
1294	3.20	3.40	1.84
1299	2.90	3.50	1.93
1304	3.45	3.50	1.74
1309	2.75	3.60	1.97
1314	3.15	3.50	1.83
1319	1.59	3.85	3.85
1327	2.95	2.44	2.50
